Name,UOM,MRP,Selling Price,Quantity,Total MRP,Total SP,Image Url
Kellogg's chocos 1.05kg,Piece,550,499,7,3850,3493,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
Kellogg's chocos 250gm,Piece,136,130,1,136,130,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
Kellogg's chocolate muesli,Piece,355,349,0,0,0,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
yoga bar super muesli 700gm,Piece,429,415,0,0,0,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
gits jalebi,Piece,85,75,1,85,75,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
gits rabdi,Piece,99,89,1,99,89,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
cookwell smc,Piece,53,49,3,159,147,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
cookwell icing sugar,Piece,33,30,2,66,60,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
cookwell custod powder,Piece,48,45,1,48,45,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
complan 200gm,Piece,145,140,1,145,140,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
itc pav bhaji,Piece,130,99,2,260,198,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
rice idli mix 500gm,Piece,125,99,0,0,0,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
gits inst.mix idli,Piece,80,70,0,0,0,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
moments falooda mix kesar,Piece,80,45,1,80,45,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
chitale inst.khaman mix,Piece,50,45,0,0,0,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
moms choice falooda mix vanilla,Piece,80,40,1,80,40,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
MTR DOSA 500GM,Piece,155,140,6,930,840,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
weikfield falooda strawberry,Piece,90,75,6,540,450,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
Saral Papad 200gm,Piece,70,60,45,3150,2700,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
udid papad 500gm,Piece,220,179,4,880,716,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
udid papad 200gm,Piece,140,70,3,420,210,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
udid papad 200gm,Piece,140,70,0,0,0,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
Saral Papad 200gm,Piece,70,60,-18,-1260,-1080,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
Lijjat Papad 200gm,Piece,77,74,3,231,222,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
lijjat papad 1kg,Piece,366,355,1,366,355,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
Appu papad,Piece,80,50,1,80,50,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
glucon D,Piece,74,70,38,2812,2660,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
Glucon D 500gm,Piece,135,125,10,1350,1250,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
Rasna 20gm,Piece,50,25,6,300,150,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
Rasna 20gm,Piece,50,30,16,800,480,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
glucon d 200gm,Piece,89,80,1,89,80,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
Ensure vanilla flavour,Piece,440,220,4,1760,880,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
Pediasure,Piece,420,210,2,840,420,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
kelloggis muesli fruitnut&seeds,Piece,60,58,18,1080,1044,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
Kellogg's chocolate muesli 60gm,Piece,52,50,12,624,600,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
Kellogg's chocos 127gm,Piece,70,65,2,140,130,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
